temperature,humidite,CO2,PH
24.93,42.71,688.12,11.97
26.29,46.09,648.82,7.82
20.29,43.75,762.88,11.24
21.8,52.64,564.85,1.39
22.7,58.94,834.02,6.96
24.04,49.71,538.55,0.81
24.25,49.5,938.05,13.02
27.24,52.47,762.9,11.37
24.56,57.91,735.84,5.57
29.31,56.99,823.37,13.22
22.91,56.77,742.89,5.5
26.62,59.11,634.01,6.27
25.71,42.48,789.1,5.02
27.77,58.3,914.99,9.82
29.71,50.76,419.37,9.06
20.03,53.29,607.08,10.86
21.53,40.08,954.83,2.24
22.99,48.02,523.61,0.33
28.67,56.15,912.7,12.49
25.25		52.12		803.79		2.48		
23.31		46.39		503.79		3.68		
27.37		44.97		652.82		9.92		
23.04		40.49		892.21		9.95		
28.69		53.97		873.25		0.66		
28.82		46.97		671.62		4.87		
29.64		55.84		535.22		11.48		
20.87		55.62		532.9		6.34		
23.08		59.59		652.09		13.72		
23.52		59.03		716.41		7.02		
22.22		58.57		582.92		6.51		
22.98		48.52		931.51		12.75		
22.81		47.86		830.82		5.41		
24.76		48.05		787.95		2.1		
21.41		45.22		742.5		11.71		
29.74		47.69		890.47		7.4		
23.95		44.21		751.58		8.17		
26.42		45.24		907.95		10.03		
26.9		52.45		540.64		6.9		
23.75		55.15		725.05		6.5		
21.02		45.33		794.33		9.86		
26.03		57.72		804.92		13.71		
22.26		54.59		580.27		2.87		
28.67		49.51		842.19		4.05		
29.42		49.56		567.41		9.52		
27.46		51.28		948.63		6.47		
23.2		47.05		854.64		5.93		
27.81		55.44		726.54		11.31		
24.46		56.09		473.16		13.51		
25.69		56.8		481.71		9.44		
22.62		58.42		555.3		13.17		
21.27		43.39		969.14		11.14		
29.15		41.36		460.97		1.83		
29.39		51.47		755.78		12.54		
22.65		49.79		497.55		11.37		
28.44		45.14		910.55		7.71		
25.07		56.89		931.73		1.04		
25.46		56.73		682.5		5.13		
20.41		46.25		795.84		12.99		
22.32		40.71		620.23		3.06		
21.58		40.32		866.71		8.05		
27.2		50.35		712.36		13.21		
24.85		40.71		458.81		1.52		
24.95		48.24		902.51		4.31		
26.09		47.65		785.91		1.84		
25.69		41.39		423.72		10.13		
25.18		55.4		536.16		13.02		
24.97		52.24		537.44		5.58		
26.82		40.41		601.97		13.62		
21.64		44.72		794.27		2.77		
23.3		53.83		841.7		0.73		
24.52		56.84		460.36		10.9		
22.21		47.45		567.02		13.01		
23.67		40.87		498.77		7.65		
22.73		49.22		974.65		12.78		
29.95		50.54		693.29		8.88		
22.21		59.04		450.33		13.83		
22.29		51.18		566.1		0.54		
20.23		45.22		501.73		2.09		
24.35		53.54		486.75		13.7		
28.19		47.57		781.02		3.84		
26.03		51.54		704.9		4.86		
26.56		46.96		821.72		7.07		
22.31		43.15		721.31		4.88		
25.76		43.66		984.27		3.35		
20.76		53.19		796.84		13.61		
27.56		55.2		819.01		0.72		
21.43		54.96		738.68		11.98		
20.7		46.28		463.5		13.31		
20.62		51.62		547.58		12.38		
24.89		46.74		488.55		10.9		
21.81		48.99		914.71		6.26		
25.97		51.2		486.24		10.18		
22.75		50.99		907.08		1.61		
22.61		52.16		436.58		11.42		
29.13		47.07		607.96		10.55		
25.67		44.25		568.22		10.53		
28.37		53.82		615.11		11.79		
21.01		56.45		554.23		5.61		
27.17		55.34		474.9		12.42		
21.25		47.47		429.34		3.96		
20.77		40.65		942.55		10.14		
28.9		41.2		484.81		6.31		
29.8		53.43		613.41		3.65		
