temperature,humidite,CO2,PH
26.6,46.72,530.64,12.85
21.82,40.13,427.62,11.86
24.79,44.63,688.69,10.85
22.96,44.63,499.53,0.76
28.08,53.86,936.34,2.16
23.24,41.9,948.85,0.08
25.8,42.98,716.94,10.44
20.43,43.63,693.81,1.23
23.2,57.01,624.6,1.1
26.24,56.66,816.38,6.83
26.45,46.91,603.61,0.12
21.45,40.75,524.2,12.92
29.76,56.72,808.1,11.05
27.14,58.07,686.54,2.72
27.74,49.16,690.71,1.97
20.25,41.16,926.4,5.51
27.52,41.61,946.86,0.29
24.51,45.36,722.1,7.88
22.02		59.75		840.76		9.09		
21.35		52.85		541.73		0.79		
28.11		59.19		760.4		4.73		
22.07		41.21		475.77		5.23		
25.59		48.29		937.36		2.97		
23.65		45.2		898.82		5.43		
26.53		44.81		471.64		1.48		
24.83		52.99		487.83		9.95		
23.53		59.54		990.7		0.64		
22.3		50.16		974.84		12.73		
22.19		50.5		740.55		10.71		
28.45		44.53		800.76		5.98		
21.27		42.35		962.76		10.2		
29.29		59.77		779.3		10.83		
27.95		43.02		475.28		11.78		
20.91		55.5		642.47		8.38		
25.23		54.74		714.26		7.15		
27.92		57.12		697.24		9.96		
24.87		44.19		666.72		5.06		
25.66		45.36		764.54		7.94		
20.19		44.2		445.09		0.27		
21.39		56.89		686.29		6.29		
24.36		51.52		723.73		12.07		
20.53		45.55		907.55		10.3		
29.3		44.55		920.07		9.62		
21.39		44.42		973.12		2.15		
28.97		52.96		803.74		3.58		
26.46		56.58		559.22		6.06		
22.65		42.05		866.54		3.65		
29.15		40.52		984.34		3.95		
20.11		42.75		712.41		13.88		
25.25		56.3		982.67		7.94		
22.26		55.48		487.53		3.28		
28.3		59.73		897.44		8.19		
22.49		57.23		498.61		10.86		
26.72		45.35		603.44		2.06		
24.51		58.81		823.28		12.25		
27.09		57.42		762.29		13.87		
29.36		42.29		649.98		3.03		
22.03		42.53		925.72		6.26		
23.58		58.54		563.94		13.01		
20.65		42.24		525.02		5.48		
29.39		47.31		499.7		4.15		
28.22		53.63		436.52		0.81		
24.38		48.44		613.14		9.14		
20.29		40.35		904.81		13.11		
24.64		58.41		492.71		4.34		
26.44		55.37		747.43		0.7		
25.12		50.58		693.25		4.85		
24.18		59.41		736.81		10.39		
27.5		42.61		763.46		2.61		
25.23		52.06		631.18		9.52		
29.25		59.9		516.44		3.4		
20.42		56.94		917.71		7.19		
29.82		54.66		569.43		9.61		
23.11		51.17		513.08		0.49		
29.64		47.47		798.14		11.8		
21.26		42.82		951.79		7.53		
26.38		54.65		834.65		2.32		
25.71		45.13		519.48		6.08		
26.63		59.51		700.0		4.02		
29.12		47.74		447.38		9.26		
26.72		42.57		616.17		10.41		
20.31		43.66		633.98		9.52		
26.6		58.18		856.57		8.44		
26.64		45.24		519.54		12.01		
29.54		50.23		797.18		10.27		
23.41		54.24		573.09		2.82		
23.24		52.18		841.43		6.8		
23.47		58.9		774.74		1.75		
22.96		44.03		916.16		6.67		
26.22		56.02		617.66		2.66		
26.25		56.4		703.59		10.04		
28.88		53.34		427.15		5.36		
23.57		44.09		678.06		5.41		
22.53		41.09		558.64		4.58		
23.91		44.23		463.46		3.49		
24.71		51.51		779.64		10.28		
23.51		42.33		670.13		0.86		
24.78		58.8		564.28		6.41		
24.01		57.68		881.03		5.83		
22.07		59.01		750.74		8.8		
22.59		59.98		581.89		5.12		
28.87		56.51		871.44		2.62		
25.3		52.77		526.57		8.21		
26.29		49.38		645.41		4.34		
28.06		48.0		514.66		6.95		
26.56		43.74		579.16		5.38		
27.21		54.38		950.01		3.36		
24.18		51.42		841.03		6.06		
25.72		57.37		698.15		6.93		
24.82		44.24		905.07		3.19		
28.52		47.11		996.99		13.41		
25.49		41.68		790.35		2.79		
26.93		48.45		725.59		4.58		
24.31		41.51		872.14		6.65		
20.34		47.1		895.95		0.37		
24.07		51.81		962.53		7.15		
23.12		54.35		937.09		7.26		
23.85		49.14		499.09		1.28		
27.14		47.72		466.0		6.68		
